created_at,tweet,username
2017-10-30 23:57:03+00:00,  exelente saludos desde nycity,renevera2013
2017-10-30 23:50:51+00:00,"Ahora mismo 5 autos ""agarran"" el carril derecho de Mcal Lopez.",Superman74Cacer
2017-10-30 23:50:01+00:00,        Siempre la misma cosa frente a CASACOR. Entra el sol y ya estacionan sobre Mcal Lopez,Superman74Cacer
2017-10-30 23:47:24+00:00,"ESAS PAREDES....SE TIENE QUE LLAMAR A LOS CANDIDATOS...Y ""EXIGIRLES""..QUE REPAREN EL DAÑO...Y SANCIONARLOS...ES UN CHISTE ESTE TEMA..",aweissman1950
2017-10-30 23:46:34+00:00,Hacen años que ahí no se puede girar a la izquierda de ambos lados. Salvo que esté yo confundido....,aristidesag
2017-10-30 23:45:46+00:00,KIKE...DECIME..?.PORQUE..LAS MUNICIPALIDADES..DEBEN GASTAR..DINERO...PINTURA..PAGAR JORNALES...A SUS PERSONALES...PARA REPINTAR....,aweissman1950
2017-10-30 22:47:14+00:00,Hola   o   protejan a sus trabajadores por favor. Pongan vallas o un cartel.   …,maxtropiero_
2017-10-30 22:27:52+00:00,"La recolección se realiza a diario en el turno noche Rafa, gracias por tu colaboración",AsuDsu
2017-10-30 22:20:49+00:00,En MRA también deberían de implementar lo mismo. Es cuestión de que se pongan de acuerdo. De hecho el MOPC debería de hacer y no la muni,rikisosa
2017-10-30 22:19:17+00:00,Sobre Peru c/ Mcal Lopez tbn siempre están!,rossicav
2017-10-30 22:06:44+00:00,"Dos años de Intendente y Asunción cada día luce más horrible de lo que era., en lugar de mejorar estamos empeorando con este Sr.",El_Rafa_PY
2017-10-30 22:04:25+00:00,"La Aviadores del chaco pide a gritos que le pongan un pavimento nuevo, arreglen el paseo central y cierren esa cloaca abierta de los costa2",El_Rafa_PY
2017-10-30 22:00:16+00:00,"  acompañó al Comité de Gestión de Riesgo, coordinado por   p/ verificar avance de trabajos logísticos en el Abastopic.twitter.com/MzllfiOQMp",AreaSocialMuni
2017-10-30 21:43:15+00:00,Por favor eliminen también el giro a la izquierda sobre Avda. Fernando de la Mora y TARUMA.,AmadorLopez07
2017-10-30 21:41:11+00:00,Señalizen para evitar accidentes que lamentar,isguer1379
2017-10-30 21:10:35+00:00,Capo Mario! Aprende filicoptero   eterno perdedor y chicanero,juanargpy
2017-10-30 21:06:36+00:00,Ojalá tenga una buena razón para estacionar así.      ,evelazquez72
2017-10-30 20:50:03+00:00,Entonces O'higgins sería doble sentido en esa parte?,sixtomendez15
2017-10-30 20:45:17+00:00,también esquina de Rod.de FRancia y E.E.UU enormes cartes de candidatos colorados!!,NancyVrignaud
2017-10-30 20:45:00+00:00,Hace años que esta prohibido giro a la izquierda en esa intersección,Oscarlucero91
2017-10-30 20:38:53+00:00,Como y donde puedo denunciar esto? Se el lugar exacto de donde arrojó. Si o si deben haber cámaras. Si me responden por favor   pic.twitter.com/Ih1QJpdQkC,elobervador9
2017-10-30 20:03:07+00:00,"Que buen momento para aplicar pintura anti graffiti. Es más cara, pero...pic.twitter.com/RnNl7U9mBZ",enriquegamarra
2017-10-30 19:16:46+00:00,  no puede ser que hasta los faroles a esta intendencia les cueste mantenerlos   Manuel Domínguez y Paraguari pic.twitter.com/Pb0YaUNgYg,El_Rafa_PY
2017-10-30 19:09:34+00:00,  …,mGranitoDeArena
2017-10-30 19:06:03+00:00,"""El convenio es entre el   , la   y la   | Hugo Ramírez (concejal Asunción)  ",Unicanal
2017-10-30 18:53:20+00:00,"    ya van 7 semanas de este tweet y sigue habiendo agua en Perú y Mcal. López, les chupa un huevo todo   …",jjorrge
2017-10-30 18:52:14+00:00,Sanciones a los responsables de las negligencias,MartaGomezFrut2
2017-10-30 18:46:54+00:00,,Lamaru__
2017-10-30 18:45:19+00:00,"El año pasado mucha gente murio de dengue, hacen supuestas campañas de concientización pero no mantienen limpio nada",vanev87
2017-10-30 18:43:18+00:00,Querido intendente y candidatos hasta cuando me tienen que obligar a dar plata a esta gente??      ,verecg
2017-10-30 18:42:37+00:00,De terror es la situación y a nadie le importa Siento impotencia,vanev87
